original_filename,processed_filename,title,year,kp_rating,imdb_rating,age_rating,tags,text_length,word_count,unique_words,processed_path
8_миллиметров_Кино.txt,8_миллиметров_Кино_1999_KP7.1_IMDB6.6_Age18+_ok.txt,8_миллиметров_Кино,1999,7.1,6.6,18+,ok,151404,23181,8054,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\8_миллиметров_Кино_1999_KP7.1_IMDB6.6_Age18+_ok.txt
13_причин_почему_Кино.txt,13_причин_почему_Кино_2017_KP7.3_IMDB7.4_AgeNot found_ok.txt,13_причин_почему_Кино,2017,7.3,7.4,Not found,ok,54983,8640,3784,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\13_причин_почему_Кино_2017_KP7.3_IMDB7.4_AgeNot found_ok.txt
Kingsman_Секретная_служба_на_русском_читать.txt,Kingsman_Секретная_служба_на_русском_читать_2015_KP7.7_IMDB7.7_Age18+_ok.txt,Kingsman_Секретная_служба_на_русском_читать,2015,7.7,7.7,18+,ok,151950,23301,8737,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Kingsman_Секретная_служба_на_русском_читать_2015_KP7.7_IMDB7.7_Age18+_ok.txt
Большая_маленькая_ложь_Кино.txt,Большая_маленькая_ложь_Кино_2017_KP8.2_IMDB8.4_AgeNot found_ok.txt,Большая_маленькая_ложь_Кино,2017,8.2,8.4,Not found,ok,50327,7868,3490,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Большая_маленькая_ложь_Кино_2017_KP8.2_IMDB8.4_AgeNot found_ok.txt
Бриллиантовая_История_Кино.txt,Бриллиантовая_История_Кино_2024_KP7.3_IMDB6.3_AgeNot found_ok.txt,Бриллиантовая_История_Кино,2024,7.3,6.3,Not found,ok,64575,10600,3605,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Бриллиантовая_История_Кино_2024_KP7.3_IMDB6.3_AgeNot found_ok.txt
Во_Все_Тяжкие_Кино.txt,Во_Все_Тяжкие_Кино_2008_KP8.9_IMDB9.5_AgeNot found_ok.txt,Во_Все_Тяжкие_Кино,2008,8.9,9.5,Not found,ok,64559,9677,4617,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Во_Все_Тяжкие_Кино_2008_KP8.9_IMDB9.5_AgeNot found_ok.txt
Выбор_Кино.txt,Выбор_Кино_2022_KP6.6_IMDB7.2_AgeNot found_ok.txt,Выбор_Кино,2022,6.6,7.2,Not found,ok,7113,1095,734,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Выбор_Кино_2022_KP6.6_IMDB7.2_AgeNot found_ok.txt
Джентльмены_Кино.txt,Джентльмены_Кино_2019_KP8.7_IMDB7.8_Age18+_ok.txt,Джентльмены_Кино,2019,8.7,7.8,18+,ok,93720,15088,6015,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Джентльмены_Кино_2019_KP8.7_IMDB7.8_Age18+_ok.txt
Джокер_Кино.txt,Джокер_Кино_2019_KP8.0_IMDB8.3_Age18+_ok.txt,Джокер_Кино,2019,8.0,8.3,18+,ok,127529,19898,6823,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Джокер_Кино_2019_KP8.0_IMDB8.3_Age18+_ok.txt
Довод_Кино.txt,Довод_Кино_2001_KP7.5_IMDB7.4_AgeNot found_ok.txt,Довод_Кино,2001,7.5,7.4,Not found,ok,153529,22635,7892,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Довод_Кино_2001_KP7.5_IMDB7.4_AgeNot found_ok.txt
Еда_Кино.txt,Еда_Кино_1992_KP7.8_IMDB8.0_AgeNot found_ok.txt,Еда_Кино,1992,7.8,8.0,Not found,ok,2769,408,304,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Еда_Кино_1992_KP7.8_IMDB8.0_AgeNot found_ok.txt
Железный_человек_Кино.txt,Железный_человек_Кино_2008_KP8.0_IMDB7.9_AgeNot found_ok.txt,Железный_человек_Кино,2008,8.0,7.9,Not found,ok,127226,18955,7549,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Железный_человек_Кино_2008_KP8.0_IMDB7.9_AgeNot found_ok.txt
Западное_крыло_Кино.txt,Западное_крыло_Кино_1999_KP7.7_IMDB8.9_AgeNot found_ok.txt,Западное_крыло_Кино,1999,7.7,8.9,Not found,ok,38421,6189,2609,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Западное_крыло_Кино_1999_KP7.7_IMDB8.9_AgeNot found_ok.txt
Зеленая_книга_Кино.txt,Зеленая_книга_Кино_2018_KP8.5_IMDB8.2_AgeNot found_ok.txt,Зеленая_книга_Кино,2018,8.5,8.2,Not found,ok,116472,17717,6579,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Зеленая_книга_Кино_2018_KP8.5_IMDB8.2_AgeNot found_ok.txt
Игра_Престолов_Кино.txt,Игра_Престолов_Кино_2011_KP9.0_IMDB9.2_AgeNot found_ok.txt,Игра_Престолов_Кино,2011,9.0,9.2,Not found,ok,72063,11048,5016,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Игра_Престолов_Кино_2011_KP9.0_IMDB9.2_AgeNot found_ok.txt
Инграм_Кино.txt,Инграм_Кино_2012_KP7.8_IMDB7.6_AgeNot found_ok.txt,Инграм_Кино,2012,7.8,7.6,Not found,ok,96027,14347,6310,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Инграм_Кино_2012_KP7.8_IMDB7.6_AgeNot found_ok.txt
Исход_Золотой_Бабы_Кино.txt,Исход_Золотой_Бабы_Кино_2021_KP4.2_IMDB2.7_AgeNot found_ok.txt,Исход_Золотой_Бабы_Кино,2021,4.2,2.7,Not found,ok,71455,11023,4990,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Исход_Золотой_Бабы_Кино_2021_KP4.2_IMDB2.7_AgeNot found_ok.txt
Как_Я_Встретил_Вашу_Маму_Кино.txt,Как_Я_Встретил_Вашу_Маму_Кино_2005_KP8.6_IMDB8.3_AgeNot found_ok.txt,Как_Я_Встретил_Вашу_Маму_Кино,2005,8.6,8.3,Not found,ok,32668,5232,2354,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Как_Я_Встретил_Вашу_Маму_Кино_2005_KP8.6_IMDB8.3_AgeNot found_ok.txt
Кактус_Кино.txt,Кактус_Кино_2005_KP5.9_IMDB5.3_AgeNot found_ok.txt,Кактус_Кино,2005,5.9,5.3,Not found,ok,7314,1100,700,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Кактус_Кино_2005_KP5.9_IMDB5.3_AgeNot found_ok.txt
Король_Лев_Кино.txt,Король_Лев_Кино_1994_KP8.8_IMDB8.5_Age0+_ok.txt,Король_Лев_Кино,1994,8.8,8.5,0+,ok,66960,10894,3942,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Король_Лев_Кино_1994_KP8.8_IMDB8.5_Age0+_ok.txt
Лабиринты_Ангелов_Кино.txt,Лабиринты_Ангелов_Кино_2003_KP7.2_IMDB6.7_AgeNot found_ok.txt,Лабиринты_Ангелов_Кино,2003,7.2,6.7,Not found,ok,158583,24392,8655,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Лабиринты_Ангелов_Кино_2003_KP7.2_IMDB6.7_AgeNot found_ok.txt
Левиафан_Кино.txt,Левиафан_Кино_2014_KP7.0_IMDB7.6_Age18+_ok.txt,Левиафан_Кино,2014,7.0,7.6,18+,ok,112543,17604,6823,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Левиафан_Кино_2014_KP7.0_IMDB7.6_Age18+_ok.txt
Лучше_Звоните_Солу_УНО_Кино.txt,Лучше_Звоните_Солу_УНО_Кино_2015_KP8.4_IMDB9.0_AgeNot found_ok.txt,Лучше_Звоните_Солу_УНО_Кино,2015,8.4,9.0,Not found,ok,15241,2355,1373,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Лучше_Звоните_Солу_УНО_Кино_2015_KP8.4_IMDB9.0_AgeNot found_ok.txt
Лучше_Зоните_Солу_Пять-О_Кино.txt,Лучше_Зоните_Солу_Пять_О_Кино_2015_KP8.4_IMDB9.0_AgeNot found_ok.txt,Лучше_Зоните_Солу_Пять-О_Кино,2015,8.4,9.0,Not found,ok,51870,8265,3578,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Лучше_Зоните_Солу_Пять_О_Кино_2015_KP8.4_IMDB9.0_AgeNot found_ok.txt
Марки_Кино.txt,Марки_Кино_2004_KP7.7_IMDB7.7_AgeNot found_ok.txt,Марки_Кино,2004,7.7,7.7,Not found,ok,7328,1125,707,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Марки_Кино_2004_KP7.7_IMDB7.7_AgeNot found_ok.txt
Мистер_Робот_Пилот_Кино.txt,Мистер_Робот_Пилот_Кино_2015_KP7.8_IMDB8.5_AgeNot found_ok.txt,Мистер_Робот_Пилот_Кино,2015,7.8,8.5,Not found,ok,55106,8476,3842,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Мистер_Робот_Пилот_Кино_2015_KP7.8_IMDB8.5_AgeNot found_ok.txt
Монстр_в_подзорной_трубе_Кино.txt,Монстр_в_подзорной_трубе_Кино_2010_KP7.4_IMDB6.7_AgeNot found_ok.txt,Монстр_в_подзорной_трубе_Кино,2010,7.4,6.7,Not found,ok,2410,350,213,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Монстр_в_подзорной_трубе_Кино_2010_KP7.4_IMDB6.7_AgeNot found_ok.txt
Нарко_Кино.txt,Нарко_Кино_1940_KP6.8_IMDB7.6_AgeNot found_ok.txt,Нарко_Кино,1940,6.8,7.6,Not found,ok,46250,6936,3475,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Нарко_Кино_1940_KP6.8_IMDB7.6_AgeNot found_ok.txt
Настоящий_детектив_Кино.txt,Настоящий_детектив_Кино_2014_KP8.5_IMDB8.9_AgeNot found_ok.txt,Настоящий_детектив_Кино,2014,8.5,8.9,Not found,ok,70129,10629,4656,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Настоящий_детектив_Кино_2014_KP8.5_IMDB8.9_AgeNot found_ok.txt
Однажды_в_Германии_Кино.txt,Однажды_в_Германии_Кино_2017_KP6.8_IMDB6.5_AgeNot found_ok.txt,Однажды_в_Германии_Кино,2017,6.8,6.5,Not found,ok,112497,16847,7266,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Однажды_в_Германии_Кино_2017_KP6.8_IMDB6.5_AgeNot found_ok.txt
Окно_во_двор_Кино.txt,Окно_во_двор_Кино_1954_KP8.0_IMDB8.5_Age12+_ok.txt,Окно_во_двор_Кино,1954,8.0,8.5,12+,ok,154427,24318,6788,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Окно_во_двор_Кино_1954_KP8.0_IMDB8.5_Age12+_ok.txt
Он_выпустил_своих_демонов_наружу_Кино.txt,Он_выпустил_своих_демонов_наружу_Кино_1953_KP7.6_IMDB7.9_AgeNot found_ok.txt,Он_выпустил_своих_демонов_наружу_Кино,1953,7.6,7.9,Not found,ok,15729,2400,1374,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Он_выпустил_своих_демонов_наружу_Кино_1953_KP7.6_IMDB7.9_AgeNot found_ok.txt
Очень_страшное_кино_Кино.txt,Очень_страшное_кино_Кино_2000_KP7.0_IMDB6.3_Age18+_ok.txt,Очень_страшное_кино_Кино,2000,7.0,6.3,18+,ok,72269,11449,4728,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Очень_страшное_кино_Кино_2000_KP7.0_IMDB6.3_Age18+_ok.txt
Паразиты_Кино.txt,Паразиты_Кино_2019_KP8.1_IMDB8.5_Age18+_ok.txt,Паразиты_Кино,2019,8.1,8.5,18+,ok,146785,22521,8063,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Паразиты_Кино_2019_KP8.1_IMDB8.5_Age18+_ok.txt
Пожиратель_денег_Кино.txt,Пожиратель_денег_Кино_2024_KP4.9_IMDB3.7_AgeNot found_ok.txt,Пожиратель_денег_Кино,2024,4.9,3.7,Not found,ok,6813,1009,666,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Пожиратель_денег_Кино_2024_KP4.9_IMDB3.7_AgeNot found_ok.txt
Половое_воспитание_Кино.txt,Половое_воспитание_Кино_2014_KP5.5_IMDB5.6_AgeNot found_ok.txt,Половое_воспитание_Кино,2014,5.5,5.6,Not found,ok,46916,7307,3138,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Половое_воспитание_Кино_2014_KP5.5_IMDB5.6_AgeNot found_ok.txt
Попутчики_Кино.txt,Попутчики_Кино_2023_KP8.1_IMDB8.2_AgeNot found_ok.txt,Попутчики_Кино,2023,8.1,8.2,Not found,ok,11534,1818,917,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Попутчики_Кино_2023_KP8.1_IMDB8.2_AgeNot found_ok.txt
Поступок_Кино.txt,Поступок_Кино_2002_KP6.2_IMDB5.4_AgeNot found_ok.txt,Поступок_Кино,2002,6.2,5.4,Not found,ok,3745,563,377,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Поступок_Кино_2002_KP6.2_IMDB5.4_AgeNot found_ok.txt
Почему_женщины_убивают_Кино.txt,Почему_женщины_убивают_Кино_2019_KP8.3_IMDB8.3_AgeNot found_ok.txt,Почему_женщины_убивают_Кино,2019,8.3,8.3,Not found,ok,53517,8560,3340,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Почему_женщины_убивают_Кино_2019_KP8.3_IMDB8.3_AgeNot found_ok.txt
Прирожденные_убийцы_Кино.txt,Прирожденные_убийцы_Кино_1994_KP7.4_IMDB7.2_AgeNot found_ok.txt,Прирожденные_убийцы_Кино,1994,7.4,7.2,Not found,ok,144915,22222,8285,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Прирожденные_убийцы_Кино_1994_KP7.4_IMDB7.2_AgeNot found_ok.txt
Продавец_правды_Кино.txt,Продавец_правды_Кино_2009_KP6.2_IMDB5.7_AgeNot found_ok.txt,Продавец_правды_Кино,2009,6.2,5.7,Not found,ok,76406,11617,4830,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Продавец_правды_Кино_2009_KP6.2_IMDB5.7_AgeNot found_ok.txt
Рик_и_Морти_Кино.txt,Рик_и_Морти_Кино_2013_KP8.9_IMDB9.0_AgeNot found_ok.txt,Рик_и_Морти_Кино,2013,8.9,9.0,Not found,ok,26490,4284,2025,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Рик_и_Морти_Кино_2013_KP8.9_IMDB9.0_AgeNot found_ok.txt
Роковое_преддверие_Кино.txt,Роковое_преддверие_Кино_2006_KP7.1_IMDB6.4_AgeNot found_ok.txt,Роковое_преддверие_Кино,2006,7.1,6.4,Not found,ok,10558,1588,1029,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Роковое_преддверие_Кино_2006_KP7.1_IMDB6.4_AgeNot found_ok.txt
Социальная_Сеть_Кино.txt,Социальная_Сеть_Кино_2010_KP7.7_IMDB7.8_AgeNot found_ok.txt,Социальная_Сеть_Кино,2010,7.7,7.8,Not found,ok,139242,21645,7809,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Социальная_Сеть_Кино_2010_KP7.7_IMDB7.8_AgeNot found_ok.txt
Три_билборда_на_границе_Эббинга_Миссури_Кино.txt,Три_билборда_на_границе_Эббинга_Миссури_Кино_2017_KP8.1_IMDB8.1_Age18+_ok.txt,Три_билборда_на_границе_Эббинга_Миссури_Кино,2017,8.1,8.1,18+,ok,84399,13551,4969,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Три_билборда_на_границе_Эббинга_Миссури_Кино_2017_KP8.1_IMDB8.1_Age18+_ok.txt
Убийство_священного_оленя_Кино.txt,Убийство_священного_оленя_Кино_2017_KP6.8_IMDB7.0_Age18+_ok.txt,Убийство_священного_оленя_Кино,2017,6.8,7.0,18+,ok,88871,14468,4827,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Убийство_священного_оленя_Кино_2017_KP6.8_IMDB7.0_Age18+_ok.txt
Убить_Билла_Кино.txt,Убить_Билла_Кино_2003_KP7.7_IMDB8.2_Age18+_ok.txt,Убить_Билла_Кино,2003,7.7,8.2,18+,ok,240789,36276,12826,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Убить_Билла_Кино_2003_KP7.7_IMDB8.2_Age18+_ok.txt
Убить_Билла_Часть_2_Кино.txt,Убить_Билла_Часть_2_Кино_2003_KP7.7_IMDB8.2_AgeNot found_ok.txt,Убить_Билла_Часть_2_Кино,2003,7.7,8.2,Not found,ok,57571,8897,4107,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Убить_Билла_Часть_2_Кино_2003_KP7.7_IMDB8.2_AgeNot found_ok.txt
Уэйн_Кино.txt,Уэйн_Кино_2019_KP8.1_IMDB8.3_AgeNot found_ok.txt,Уэйн_Кино,2019,8.1,8.3,Not found,ok,38594,6093,2829,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Уэйн_Кино_2019_KP8.1_IMDB8.3_AgeNot found_ok.txt
Ход_Королевы_Кино.txt,Ход_Королевы_Кино_2020_KP8.3_IMDB8.5_AgeNot found_ok.txt,Ход_Королевы_Кино,2020,8.3,8.5,Not found,ok,66787,10547,3774,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Ход_Королевы_Кино_2020_KP8.3_IMDB8.5_AgeNot found_ok.txt
Чернобыль_Кино.txt,Чернобыль_Кино_2019_KP8.8_IMDB9.3_AgeNot found_ok.txt,Чернобыль_Кино,2019,8.8,9.3,Not found,ok,61683,9273,4190,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Чернобыль_Кино_2019_KP8.8_IMDB9.3_AgeNot found_ok.txt
Четыре_комнаты_Кино.txt,Четыре_комнаты_Кино_1995_KP7.7_IMDB6.7_Age18+_ok.txt,Четыре_комнаты_Кино,1995,7.7,6.7,18+,ok,20990,3333,1648,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Четыре_комнаты_Кино_1995_KP7.7_IMDB6.7_Age18+_ok.txt
Чужой_против_Хищника_Кино.txt,Чужой_против_Хищника_Кино_2004_KP6.3_IMDB5.7_AgeNot found_ok.txt,Чужой_против_Хищника_Кино,2004,6.3,5.7,Not found,ok,137020,19745,7629,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Чужой_против_Хищника_Кино_2004_KP6.3_IMDB5.7_AgeNot found_ok.txt
Эд_Вуд_Кино.txt,Эд_Вуд_Кино_1994_KP7.6_IMDB7.8_Age18+_ok.txt,Эд_Вуд_Кино,1994,7.6,7.8,18+,ok,167254,25602,10163,C:\Users\Дмитрий\Downloads\Ratings\datasets\Pipe\Эд_Вуд_Кино_1994_KP7.6_IMDB7.8_Age18+_ok.txt
