filename,title,year,kp_rating,imdb_rating,notes,age_rating_imdb,age_rating_kp,english_title
13_причин_почему_Кино.txt,13_причин_почему_Кино,2017,7.3,7.4,ok,TV-MA,16+,TH1RTEEN R3ASONS WHY
Игра_Престолов_Кино.txt,Игра_Престолов_Кино,2011,9.0,9.2,ok,TV-MA,18+,A Song of Ice and Fire
8_миллиметров_Кино.txt,8_миллиметров_Кино,1999,7.1,6.6,ok,R,18+,8 Millimeter
Джентльмены_Кино.txt,Джентльмены_Кино,2019,8.7,7.8,ok,R,18+,The Gentlemen
Джокер_Кино.txt,Джокер_Кино,2019,8.0,8.3,ok,R,18+,Joker
Довод_Кино.txt,Довод_Кино,2001,7.5,7.4,ok,R,18+,Merry-Go-Round
Железный_человек_Кино.txt,Железный_человек_Кино,2008,8.0,7.9,ok,R,16+,Marvel Studios' Iron Man
Как_Я_Встретил_Вашу_Маму_Кино.txt,Как_Я_Встретил_Вашу_Маму_Кино,2005,8.6,8.3,ok,R,18+,HIMYM
Лабиринты_Ангелов_Кино.txt,Лабиринты_Ангелов_Кино,2003,7.2,6.7,ok,R,18+,Dédales
Левиафан_Кино.txt,Левиафан_Кино,2014,7.0,7.6,ok,R,18+,Leviathan
Нарко_Кино.txt,Нарко_Кино,1940,6.8,7.6,ok,R,18+,Narcos
Однажды_в_Германии_Кино.txt,Однажды_в_Германии_Кино,2017,6.8,6.5,ok,R,18+,Es war einmal in Deutschland...
Очень_страшное_кино_Кино.txt,Очень_страшное_кино_Кино,2000,7.0,6.3,ok,R,18+,Scary Movie
Попутчики_Кино.txt,Попутчики_Кино,2023,8.1,8.2,ok,R,18+,Fellow Travelers
Почему_женщины_убивают_Кино.txt,Почему_женщины_убивают_Кино,2019,8.3,8.3,ok,R,18+,Why Women Kill
Продавец_правды_Кино.txt,Продавец_правды_Кино,2009,6.2,5.7,ok,R,18+,"The Goods: Live Hard, Sell Hard"
Три_билборда_на_границе_Эббинга_Миссури_Кино.txt,Три_билборда_на_границе_Эббинга_Миссури_Кино,2017,8.1,8.1,ok,R,18+,"Three Billboards Outside Ebbing, Missouri"
Убийство_священного_оленя_Кино.txt,Убийство_священного_оленя_Кино,2017,6.8,7.0,ok,R,18+,The Killing of a Sacred Deer
Уэйн_Кино.txt,Уэйн_Кино,2019,8.1,8.3,ok,R,18+,Wayne
Эд_Вуд_Кино.txt,Эд_Вуд_Кино,1994,7.6,7.8,ok,R,18+,Ed Wood
Убить_Билла_Кино.txt,Убить_Билла_Кино,2003,7.7,8.2,ok,R,18+,Kill Bill
Четыре_комнаты_Кино.txt,Четыре_комнаты_Кино,1995,7.7,6.7,ok,R,18+,Four Rooms and a Hotel
Выбор_Кино.txt,Выбор_Кино,2022,6.6,7.2,ok,PG-13,18+,The Choice
Еда_Кино.txt,Еда_Кино,1992,7.8,8.0,ok,PG-13,16+,Jídlo
Зеленая_книга_Кино.txt,Зеленая_книга_Кино,2018,8.5,8.2,ok,PG-13,18+,Green Book
Социальная_Сеть_Кино.txt,Социальная_Сеть_Кино,2010,7.7,7.8,ok,PG-13,12+,The Social Network
Окно_во_двор_Кино.txt,Окно_во_двор_Кино,1954,8.0,8.5,ok,PG,12+,Alfred Hitchcock's Rear Window
Мистер_Робот_Пилот_Кино.txt,Мистер_Робот_Пилот_Кино,2015,7.8,8.5,ok,PG,18+,Mr. Robot
Ход_Королевы_Кино.txt,Ход_Королевы_Кино,2020,8.3,8.5,ok,PG,18+,The Queens Gambit
Чернобыль_Кино.txt,Чернобыль_Кино,2019,8.8,9.3,ok,PG,18+,Chernobyl
Чужой_против_Хищника_Кино.txt,Чужой_против_Хищника_Кино,2004,6.3,5.7,ok,PG,12+,AVP 1։ Alien vs. Predator
Большая_маленькая_ложь_Кино.txt,Большая_маленькая_ложь_Кино,2017,8.2,8.4,ok,TV-MA,18+,Big Little Lies
Кактус_Кино.txt,Кактус_Кино,2005,5.9,5.3,ok,R,16+,Le cactus
Половое_воспитание_Кино.txt,Половое_воспитание_Кино,2014,5.5,5.6,ok,TV-MA,18+,Sex Ed
Бриллиантовая_История_Кино.txt,Бриллиантовая_История_Кино,2024,7.3,6.3,ok,TV-MA,18+,Heeramandi: The Diamond Bazaar
Настоящий_детектив_Кино.txt,Настоящий_детектив_Кино,2014,8.5,8.9,ok,TV-MA,18+,True Detective: Night Country
Kingsman_Секретная_служба_на_русском_читать.txt,Kingsman_Секретная_служба_на_русском_читать,2015,7.7,7.7,ok,NC-17,18+,Kingsman - The Secret Service
Во_Все_Тяжкие_Кино.txt,Во_Все_Тяжкие_Кино,2008,8.9,9.5,ok,NC-17,18+,Breaking Bad
Западное_крыло_Кино.txt,Западное_крыло_Кино,1999,7.7,8.9,ok,NC-17,16+,The West Wing
Лучше_Звоните_Солу_УНО_Кино.txt,Лучше_Звоните_Солу_УНО_Кино,2015,8.4,9.0,ok,NC-17,18+,BCS
Лучше_Зоните_Солу_Пять-О_Кино.txt,Лучше_Зоните_Солу_Пять-О_Кино,2015,8.4,9.0,ok,NC-17,18+,BCS
Марки_Кино.txt,Марки_Кино,2004,7.7,7.7,ok,NC-17,16+,Hou piao
Паразиты_Кино.txt,Паразиты_Кино,2019,8.1,8.5,ok,NC-17,18+,Gisaengchung
Пожиратель_денег_Кино.txt,Пожиратель_денег_Кино,2024,4.9,3.7,ok,NC-17,18+,Consumed
Поступок_Кино.txt,Поступок_Кино,2002,6.2,5.4,ok,NC-17,16+,The House on Turk Street
Прирожденные_убийцы_Кино.txt,Прирожденные_убийцы_Кино,1994,7.4,7.2,ok,NC-17,18+,Assassini Nati - Natural Born Killers
Рик_и_Морти_Кино.txt,Рик_и_Морти_Кино,2013,8.9,9.0,ok,NC-17,18+,Rick and Morty
Убить_Билла_Часть_2_Кино.txt,Убить_Билла_Часть_2_Кино,2003,7.7,8.2,ok,NC-17,18+,Kill Bill: Volume 2
Король_Лев_Кино.txt,Король_Лев_Кино,1994,8.8,8.5,ok,G,0+,The Lion King
Монстр_в_подзорной_трубе_Кино.txt,Монстр_в_подзорной_трубе_Кино,2010,7.4,6.7,ok,G,16+,Un monstre à Paris
Он_выпустил_своих_демонов_наружу_Кино.txt,Он_выпустил_своих_демонов_наружу_Кино,1953,7.6,7.9,ok,R,12+,This Strange Passion